Comment,Designator,Footprint,LCSC Part #
1M,R38,R0402,C327799
1N4148,D1 D2,SOD323J,C2128
1k,R27 R33 R34 R43 R45,R0402,C11702
1.2k,R16 R17,R0603,C22765
1.5k,R1 R2,R0402,C25867
1u,C1 C4 C5 C15 C16,C0402,C694272
2.7k,R5 R6 R13 R14,R0603,C13167
2.2n,C14,C0603,C1604
3.3k,R31,R0402,C25890
3.3n,C12,C0603,C1613
4.7k,R32,R0402,C25900
6.8k,R8 R12 R15,R0603,C23212
8.2k,R41,R0603,C25981
10k,R22 R30 R44,R0402,C25744
10n,C10,C0402,C15195
12k,R7 R11,R0402,C25752
15k,R18 R19 R20 R21 R35 R48,R0402,C25756
20k,R39 R40,R0402,C25765
22n,C9,C0402,C1532
33k,R26 R42 R46,R0402,C25779
47u,C2 C3,C1206,C22367835
68k,R23 R25,R0603,C23231
100k,R28 R37,R0402,C25741
100n,C8,C0402,C307331
180k,R3 R4,R0402,C323674
200k,R29,RTRIM3296W,C118942
220k,R24,R0603,C22961
220n,C13,C0402,C16772
300k,R36,R0603,C23024
470n,C6 C7 C11,C0603,C1623
500R,R9 R10,RTRIM3296X,C330441
510R,R47 R49,R0402,C25123
LM13700SL,IC3,SO16-NARROW-J,C174050
MA06-1JN,X1 X2,MA06N-1J,undefined
MC1496DR2G,U1,SO14,C7295
MMBT3906,Q1,SOT23-BEC,C2143
NOISE-2N3904,T1,NOISE-2N3904-J,undefined
TL074JT,IC1 IC2,TSSOP14,C2652279